president,congress,congress_start_year,congress_end_year,nominee,court_name,nomination_date,recess_appointment,outcome
"James Madison (1809-1817)
",11th,1809,1811,"Adams, John Quincy",Supreme Court,1811-02-21 00:00:00,False,"confirmed February 22, 1811; nominee declined"
"James Madison (1809-1817)
",12th,1811,1813,"Parker, Thomas",District of South Carolina,1812-03-13 00:00:00,False,"confirmed March 17, 1812; nominee declined"
"James Madison (1809-1817)
",13th,1813,1815,"Gaillard, Theodore",District of Louisiana,1813-04-13 00:00:00,True,appointee declined
"James Madison (1809-1817)
",14th,1815,1817,"Parke, Benjamin (1)",District of Indiana,1817-01-28 00:00:00,False,no Senate vote
"James Monroe (1817-1825)
",17th,1821,1823,"Charlton, Thomas U.P.",District of Georgia,1821-05-15 00:00:00,True,appointee declined
"John Quincy Adams (1825-1829)
",19th,1825,1827,"Smith, Daniel",Western District of Virginia,1825-08-27 00:00:00,True,appointee declined
"John Quincy Adams (1825-1829)
",19th,1825,1827,"Pickens, Israel",Northern and Southern Districts of Alabama,1826-02-17 00:00:00,False,"confirmed March 9, 1826; nominee declined"
"John Quincy Adams (1825-1829)
",20th,1827,1829,"Creighton, William, Jr. (2)",District of Ohio,1828-12-11 00:00:00,False,no Senate vote
"John Quincy Adams (1825-1829)
",20th,1827,1829,"Crittenden, John J.",Supreme Court,1828-12-17 00:00:00,False,no Senate vote
"John Quincy Adams (1825-1829)
",20th,1827,1829,"Gurley, Henry H.",Eastern and Western Districts of Louisiana,1829-01-06 00:00:00,False,no Senate vote
"Andrew Jackson (1829-1837)
",23rd,1833,1835,"Tappan, Benjamin (2)",District of Ohio,1834-01-20 00:00:00,False,"rejected by Senate May 29, 1834"
"Andrew Jackson (1829-1837)
",23rd,1833,1835,"Taney, Roger B.",Supreme Court,1835-01-15 00:00:00,False,no Senate vote
"Andrew Jackson (1829-1837)
",24th,1835,1837,"Smith, William",Supreme Court,1837-03-03 00:00:00,False,"confirmed March 8, 1837; nominee declined"
"John Tyler (1841-1845)
",27th,1841,1843,"Ogden, Abner Nash",Eastern and Western Districts of Louisiana,1841-07-15 00:00:00,False,"confirmed July 15, 1841; nominee declined"
"John Tyler (1841-1845)
",27th,1841,1843,"Crawford, Bennet A.",Eastern and Western Districts of Lousiana,1841-10-19 00:00:00,True,appointment invalid; vacancy did not occur
"John Tyler (1841-1845)
",27th,1841,1843,"Binney, Horace",Eastern District of Pennsylvania,1842-01-18 00:00:00,False,"confirmed January 25, 1842; nominee declined"
"John Tyler (1841-1845)
",27th,1841,1843,"Bradford, Thomas",Eastern District of Pennsylvania,1842-02-05 00:00:00,False,"rejected by Senate February 21, 1842"
"John Tyler (1841-1845)
",27th,1841,1843,"Dewey, Charles",District of Indiana,1842-04-04 00:00:00,False,"confirmed April 6, 1842; nominee declined"
"John Tyler (1841-1845)
",28th,1843,1845,"Spencer, John C.",Supreme Court,1844-01-08 00:00:00,False,"rejected by Senate January 31, 1844"
"John Tyler (1841-1845)
",28th,1843,1845,"Walworth, Reuben H.",Supreme Court,1844-03-13 00:00:00,False,"withdrawn by president June 17, 1844"
"John Tyler (1841-1845)
",28th,1843,1845,"Christian, John B.",Eastern District of Virginia,1844-04-02 00:00:00,False,"rejected by Senate June 15, 1844"
"John Tyler (1841-1845)
",28th,1843,1845,"King, Edward",Supreme Court,1844-06-05 00:00:00,False,no Senate vote
"John Tyler (1841-1845)
",28th,1843,1845,"Collier, R.R.",Eastern District of Virginia,1844-06-15 00:00:00,False,"rejected by Senate June 15, 1844"
"John Tyler (1841-1845)
",28th,1843,1845,"Spencer, John C.",Supreme Court,1844-06-17 00:00:00,False,"withdrawn by president June 17, 1844"
"John Tyler (1841-1845)
",28th,1843,1845,"Walworth, Reuben H.",Supreme Court,1844-06-17 00:00:00,False,no Senate vote
"John Tyler (1841-1845)
",28th,1843,1845,"King, Edward",Supreme Court,1844-12-04 00:00:00,False,"withdrawn by president February 7, 1845"
"John Tyler (1841-1845)
",28th,1843,1845,"Walworth, Reuben H.",Supreme Court,1844-12-04 00:00:00,False,"withdrawn by president February 4, 1845"
"John Tyler (1841-1845)
",28th,1843,1845,"Read, John M.",Supreme Court,1845-02-07 00:00:00,False,no Senate vote
"James K. Polk (1845-1849)
",29th,1845,1847,"Woodward, George W.",Supreme Court,1845-12-23 00:00:00,False,"rejected by Senate January 22, 1846"
"Zachary Taylor (1849-1850)
",31st,1849,1851,"Campbell, James G.",Western District of Louisiana,1849-03-16 00:00:00,False,"confirmed March 19, 1849; nominee declined"
"Zachary Taylor (1849-1850)
",31st,1849,1851,"Elgee, John K.",Western District of Louisiana,1849-04-26 00:00:00,True,appointee declined
"Millard Fillmore (1850-1853)
",31st,1849,1851,"Benjamin, Judah P.",Northern District of California,1850-09-28 00:00:00,False,"confirmed September 28, 1850; nominee declined"
"Millard Fillmore (1850-1853)
",31st,1849,1851,"Healey, John P.",Southern District of California,1850-09-28 00:00:00,False,"confirmed September 28, 1850; nominee declined"
"Millard Fillmore (1850-1853)
",31st,1849,1851,"Currey, John",Northern District of California,1850-12-23 00:00:00,False,"rejected by Senate January 25, 1851"
"Millard Fillmore (1850-1853)
",32nd,1851,1853,"Currey, John",Southern District of California,1852-02-26 00:00:00,False,no Senate vote
"Millard Fillmore (1850-1853)
",32nd,1851,1853,"Bradford, E.A.",Supreme Court,1852-08-16 00:00:00,False,no Senate vote
"Millard Fillmore (1850-1853)
",32nd,1851,1853,"Badger, George E.",Supreme Court,1853-01-03 00:00:00,False,"withdrawn by president February 14, 1853"
"Millard Fillmore (1850-1853)
",32nd,1851,1853,"Micou, William C.",Supreme Court,1853-02-14 00:00:00,False,no Senate vote
"Franklin Pierce (1853-1857)
",33rd,1853,1855,"Lumpkin, Joseph H.",Court of Claims,1855-03-03 00:00:00,False,"confirmed March 3, 1855; nominee declined"
"Franklin Pierce (1853-1857)
",34th,1855,1857,"Hopkins, George W.","Chief Judge, Circuit Court of the District of Columbia",1855-10-05 00:00:00,True,appointee declined
"James Buchanan (1857-1861)
",36th,1859,1861,"Pettit, John",District of Kansas,1861-01-31 00:00:00,False,no Senate vote
"James Buchanan (1857-1861)
",36th,1859,1861,"Black, Jeremiah S.",Supreme Court,1861-02-05 00:00:00,False,no Senate vote
"Abraham Lincoln (1861-1865)
",37th,1861,1863,"Field, Stephen J.",California Circuit,1863-02-25 00:00:00,False,no Senate vote
"Abraham Lincoln (1861-1865)
",37th,1861,1863,"Withey, Solomon L. (1)",Western District of Michigan,1863-02-26 00:00:00,False,no Senate vote
"Abraham Lincoln (1861-1865)
",38th,1863,1865,"Wylie, Andrew (1), (2)",Supreme Court of the District of Columbia,1863-03-10 00:00:00,False,"confirmed March 12, 1863; Senate voted to reconsider confirmation March 13, 1863; no subsequent Senate vote"
"Abraham Lincoln (1861-1865)
",38th,1863,1865,"Bingham, John",Southern District of Florida,1863-06-04 00:00:00,True,appointee declined
"Abraham Lincoln (1861-1865)
",38th,1863,1865,"Lawrence, William",Southern District of Florida,1863-09-09 00:00:00,True,appointee declined
"Abraham Lincoln (1861-1865)
",38th,1863,1865,"Durell, Edward H. (1), (2)",Eastern District of Louisiana,1864-01-05 00:00:00,False,"returned to president by Senate vote February 3, 1864"
"Abraham Lincoln (1861-1865)
",38th,1863,1865,"Thompson, Richard W.",Court of Claims,1865-02-10 00:00:00,False,"withdrawn by president February 21, 1865"
"Andrew Johnson (1865-1869)
",39th,1865,1867,"Dick, Robert P.","Albemarle, Cape Fear and Pamptico Districts of North Carolina",1865-05-29 00:00:00,True,appointee declined
"Andrew Johnson (1865-1869)
",39th,1865,1867,"Stanberry, Henry",Supreme Court,1866-04-16 00:00:00,False,no Senate vote
"Andrew Johnson (1865-1869)
",40th,1867,1869,"Lockwood, William F.",District of Nebraska,1867-03-15 00:00:00,False,"rejected by Senate April 20, 1867"
"Andrew Johnson (1865-1869)
",40th,1867,1869,"Wilkinson, Ira O.",District of Nebraska,1867-07-20 00:00:00,False,no Senate vote
"Andrew Johnson (1865-1869)
",40th,1867,1869,"Worthington, Henry G.",District of Nebraska,1868-01-28 00:00:00,False,"withdrawn by president March 18, 1868"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Clarke, James M.",District of Rhode Island,1869-09-15 00:00:00,True,appointee declined
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Pearre, George A.",Fourth Circuit,1869-12-08 00:00:00,False,"withdrawn by president April 6, 1870"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Yeaman, George H.",Sixth Circuit,1869-12-08 00:00:00,False,"withdrawn by president December 17, 1869"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Hoar, Ebenezer R.",Supreme Court,1869-12-14 00:00:00,False,"rejected by Senate February 3, 1870"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Withey, Solomon L.",Sixth Circuit,1869-12-17 00:00:00,False,"confirmed December 22, 1869; nominee declined"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Stanton, Edwin M.",Supreme Court,1869-12-20 00:00:00,False,"confirmed December 20, 1869; nominee died prior to appointment"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Gobin, John P.S.",Southern District of Florida,1870-02-04 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Appleton, John F.",Eastern District of Texas,1870-04-26 00:00:00,False,"confirmed May 16, 1870; nominee declined"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Conant, Sherman",Southern District of Florida,1870-06-29 00:00:00,False,"withdrawn by president July 7, 1870"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Oliver, John M.",Supreme Court of the District of Columbia,1870-06-29 00:00:00,False,"withdrawn by president July 14, 1870"
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Hopkins, James C. (1)",Western District of Wisconsin,1870-07-01 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Winch, Joel C.C. (2)",Eastern District of Texas,1870-12-15 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",41st,1869,1871,"Bruce, John",Eastern District of Texas,1871-02-14 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",42nd,1871,1873,"Gray, Bird W.",Eastern District of Texas,1871-03-10 00:00:00,False,"confirmed March 10, 1871; Senate voted to reconsider confirmation March 20, 1871; no subsequent Senate vote"
"Ulysses Grant (1869-1877)
",42nd,1871,1873,"Gray, Bird W.",Eastern District of Texas,1871-05-15 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",42nd,1871,1873,"Goddard, William H.",Eastern District of Texas,1871-12-18 00:00:00,False,"withdrawn by president January 18, 1872"
"Ulysses Grant (1869-1877)
",42nd,1871,1873,"Busteed, Richard",Supreme Court of the District of Columbia,1873-01-13 00:00:00,False,"returned to president by Senate vote February 13, 1873"
"Ulysses Grant (1869-1877)
",42nd,1871,1873,"Humphreys, David C.","Middle, Northern and Southern Districts of Alabama",1873-01-13 00:00:00,False,"returned to president by Senate vote February 13, 1873"
"Ulysses Grant (1869-1877)
",43rd,1873,1875,"Williams, George H.","Chief Justice, Supreme Court",1873-12-01 00:00:00,False,"withdrawn by president January 8, 1874"
"Ulysses Grant (1869-1877)
",43rd,1873,1875,"Cushing, Caleb","Chief Justice, Supreme Court",1874-01-09 00:00:00,False,"withdrawn by president January 13, 1874"
"Ulysses Grant (1869-1877)
",43rd,1873,1875,"Pardee, Don A.",District of Louisiana,1874-12-14 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",43rd,1873,1875,"Parsons, Lewis E.","Middle, Northern and Southern Districts of Alabama",1874-12-18 00:00:00,False,"withdrawn by president February 23, 1875"
"Ulysses Grant (1869-1877)
",44th,1875,1877,"Pardee, Don A.",District of Louisiana,1875-03-09 00:00:00,False,no Senate vote
"Ulysses Grant (1869-1877)
",44th,1875,1877,"Kinsman, J. Burnham",Western District of Arkansas,1875-03-10 00:00:00,False,"withdrawn by president March 18, 1875"
"Ulysses Grant (1869-1877)
",44th,1875,1877,"Griswold, Elias",Northern District of Florida,1877-01-11 00:00:00,False,"withdrawn by president January 12, 1877"
"Ulysses Grant (1869-1877)
",44th,1875,1877,"Griswold, Elias",Northern District of Florida,1877-01-18 00:00:00,False,"withdrawn by president January 23, 1877"
"Rutherford B. Hayes (1877-1881)
",45th,1877,1879,"Baxter, John (1)",Sixth Circuit,1877-10-25 00:00:00,False,no Senate vote
"Rutherford B. Hayes (1877-1881)
",45th,1877,1879,"Turner, Ezekiel B.",Northern District of Texas,1879-03-01 00:00:00,False,no Senate vote
"Rutherford B. Hayes (1877-1881)
",46th,1879,1881,"Turner, Ezekiel B.",Northern District of Texas,1879-03-19 00:00:00,False,"rejected by Senate April 2, 1879"
"Rutherford B. Hayes (1877-1881)
",46th,1879,1881,"Matthews, R. Stockett",District of Maryland,1879-04-09 00:00:00,False,"withdrawn by president July 1, 1879"
"Rutherford B. Hayes (1877-1881)
",46th,1879,1881,"McCrary, George W.",Eighth Circuit,1879-06-03 00:00:00,False,"withdrawn by president June 21, 1879"
"Rutherford B. Hayes (1877-1881)
",46th,1879,1881,"Billings, Edward C.",Fifth Circuit,1881-01-24 00:00:00,False,no Senate vote
"Rutherford B. Hayes (1877-1881)
",46th,1879,1881,"Matthews, Stanley (1)",Supreme Court,1881-01-26 00:00:00,False,no Senate vote
"James A. Garfield (1881)
",47th,1881,1883,"Phillips, Samuel F.",Court of Claims,1881-03-23 00:00:00,False,"withdrawn by president May 19, 1881"
"Chester A. Arthur (1881-1885)
",47th,1881,1883,"Conkling, Roscoe",Supreme Court,1882-02-24 00:00:00,False,"confirmed March 2, 1882; nominee declined"
"Chester A. Arthur (1881-1885)
",47th,1881,1883,"Atkins, James",Northern District of Georgia,1882-07-03 00:00:00,False,"withdrawn by president August 3, 1882"
"Grover Cleveland (1885-1889)
",50th,1887,1889,"Lacombe, Emile H. (1), (2)",Second Circuit,1887-12-20 00:00:00,False,"withdrawn by president February 27, 1888"
"Grover Cleveland (1885-1889)
",50th,1887,1889,"Hartridge, John E.",Northern District of Florida,1888-12-18 00:00:00,False,no Senate vote
"Grover Cleveland (1885-1889)
",50th,1887,1889,"Stevenson, Adlai E.",Supreme Court of the District of Columbia,1889-02-11 00:00:00,False,no Senate vote
"Benjamin Harrison (1889-1893)
",51st,1889,1891,"Day, William R.",Northern District of Ohio,1889-05-24 00:00:00,True,appointee declined
"Benjamin Harrison (1889-1893)
",51st,1889,1891,"Beatty, James H. (1), (2)",District of Idaho,1891-02-10 00:00:00,False,no Senate vote
"Benjamin Harrison (1889-1893)
",52nd,1891,1893,"Hanchett, Benton",Sixth Circuit,1893-02-23 00:00:00,False,no Senate vote
"Grover Cleveland (1893-1897)
",53rd,1893,1895,"Hornblower, William B.",Supreme Court,1893-09-19 00:00:00,False,no Senate vote
"Grover Cleveland (1893-1897)
",53rd,1893,1895,"Hornblower, William B.",Supreme Court,1893-12-05 00:00:00,False,"rejected by Senate January 15, 1894"
"Grover Cleveland (1893-1897)
",53rd,1893,1895,"Peckham, Wheeler H.",Supreme Court,1894-01-22 00:00:00,False,"rejected by Senate February 19, 1894"
"Grover Cleveland (1893-1897)
",53rd,1893,1895,"Porter, James D.",Eastern and Middle Districts of Tennessee,1894-08-06 00:00:00,False,no Senate vote
"Grover Cleveland (1893-1897)
",54th,1895,1897,"McHugh, William D. (2)",District of Nebraska,1896-12-08 00:00:00,False,"withdrawn by president February 1, 1897"
"Grover Cleveland (1893-1897)
",54th,1895,1897,"Wolcott, James L.",District of Delaware,1897-02-20 00:00:00,False,no Senate vote
"Grover Cleveland (1893-1897)
",54th,1895,1897,"Clark, William W.",Eastern District of North Carolina,1897-02-25 00:00:00,False,no Senate vote
"William McKinley (1897-1901)
",55th,1897,1899,"Ewart, Hamilton G. (2)",Western District of North Carolina,1898-01-27 00:00:00,False,no Senate vote
"William McKinley (1897-1901)
",55th,1897,1899,"Meek, Edward R. (1), (2)",Northern District of Texas,1898-03-10 00:00:00,False,no Senate vote
"William McKinley (1897-1901)
",55th,1897,1899,"Ewart, Hamilton G. (2)",Western District of North Carolina,1898-12-13 00:00:00,False,no Senate vote
"William McKinley (1897-1901)
",56th,1899,1901,"Ewart, Hamilton G. (2)",Western District of North Carolina,1899-12-19 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",57th,1901,1903,"Holmes, Oliver W., Jr. (1)",Supreme Court,1902-08-11 00:00:00,True,appointment cancelled by president
"Theodore Roosevelt (1901-1909)
",57th,1901,1903,"Morris, Page (1)",District of Minnesota,1903-02-19 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",58th,1903,1905,"Quarles, Joseph V. (1)",Eastern District of Wisconsin,1905-02-25 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",59th,1905,1907,"Chatfield, Thomas (1)",Eastern District of New York,1906-12-10 00:00:00,False,"withdrawn by president December 17, 1906"
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Van Fleet, William C. (1), (2)",Northern District of California,1907-03-04 00:00:00,True,appointment cancelled by president
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Hundley, Oscar R. (2)",Northern District of Alabama,1907-12-03 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Sater, John E. (1), (2)",Southern District of Ohio,1907-12-03 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Purdy, Milton D. (2)",District of Minnesota,1908-04-23 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Hundley, Oscar R. (2)",Northern District of Alabama,1908-12-08 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Purdy, Milton D. (2)",District of Minnesota,1908-12-08 00:00:00,False,no Senate vote
"Theodore Roosevelt (1901-1909)
",60th,1907,1909,"Seawell, Herbert F.",Eastern District of North Carolina,1909-01-18 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",61st,1909,1911,"Barber, Orion M. (1)",Court of Customs Appeals,1910-01-05 00:00:00,False,"withdrawn by president February 22, 1910"
"William H. Taft (1909-1913)
",61st,1909,1911,"Coxe, Alfred C., Sr.","Presiding Judge, Court of Customs Appeals",1910-01-05 00:00:00,False,"withdrawn by president February 22, 1910"
"William H. Taft (1909-1913)
",61st,1909,1911,"De Vries, Marion (1)",Court of Customs Appeals,1910-01-05 00:00:00,False,"withdrawn by president February 22, 1910"
"William H. Taft (1909-1913)
",61st,1909,1911,"Hunt, William H. (1)",Court of Customs Appeals,1910-01-05 00:00:00,False,"withdrawn by president February 22, 1910"
"William H. Taft (1909-1913)
",61st,1909,1911,"Smith, James F. (1)",Court of Customs Appeals,1910-01-05 00:00:00,False,"withdrawn by president February 22, 1910"
"William H. Taft (1909-1913)
",62nd,1911,1913,"Sloan, Richard E. (2)",District of Arizona,1912-03-01 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Cheney, John M. (2)",Southern District of Florida,1912-07-25 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Howard, Clinton W. (2)",Western District of Washington,1912-08-19 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Cheney, John M. (2)",Southern District of Florida,1912-12-03 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Howard, Clinton W. (2)",Western District of Washington,1912-12-03 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Sloan, Richard E. (2)",District of Arizona,1912-12-03 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Carpenter, George A.",Seventh Circuit,1912-12-17 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Cutting, Charles C.",Northern District of Illinois,1912-12-17 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Booth, Fenton W.","Chief Justice, Court of Claims",1913-01-02 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Boutell, Henry S.",Court of Claims,1913-01-02 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Brown, Arthur L.",First Circuit,1913-02-10 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Mumford, Charles C.",District of Rhode Island,1913-02-10 00:00:00,False,no Senate vote
"William H. Taft (1909-1913)
",62nd,1911,1913,"Fisher, Samuel H.",District of Connecticut,1913-02-20 00:00:00,False,no Senate vote
"Woodrow Wilson (1913-1921)
",63rd,1913,1915,"Siddons, Frederick L. (1)",Supreme Court of the District of Columbia,1914-10-21 00:00:00,False,no Senate vote
"Woodrow Wilson (1913-1921)
",64th,1915,1917,"Palmer, A. Mitchell",Court of Claims,1915-03-16 00:00:00,True,appointee declined
"Woodrow Wilson (1913-1921)
",64th,1915,1917,"Westenhaver, David C. (1)",Northern District of Ohio,1917-02-19 00:00:00,False,no Senate vote
"Woodrow Wilson (1913-1921)
",65th,1917,1919,"Whipple, U.V.",Southern District of Georgia,1917-04-09 00:00:00,False,"rejected by Senate April 24, 1917"
"Woodrow Wilson (1913-1921)
",65th,1917,1919,"Thomas, W.E.",Southern District of Georgia,1917-07-11 00:00:00,False,"rejected by Senate July 12, 1917"
"Woodrow Wilson (1913-1921)
",65th,1917,1919,"Haight, Thomas G. (1), (2)",Third Circuit,1919-03-01 00:00:00,False,no Senate vote
"Woodrow Wilson (1913-1921)
",66th,1919,1921,"Garrett, Finis J.",Western District of Tennessee,1920-11-22 00:00:00,True,appointee declined
"Woodrow Wilson (1913-1921)
",66th,1919,1921,"Garrett, Finis J.",Western District of Tennessee,1920-12-10 00:00:00,False,no Senate vote
"Woodrow Wilson (1913-1921)
",66th,1919,1921,"Ryan, William",Western District of Wisconsin,1921-01-07 00:00:00,False,no Senate vote
"Warren G. Harding (1921-1923)
",67th,1921,1923,"Butler, Pierce (1)",Supreme Court,1922-11-21 00:00:00,False,no Senate vote
"Warren G. Harding (1921-1923)
",67th,1921,1923,"Rose, John C. (1)",Fourth Circuit,1922-11-27 00:00:00,False,no Senate vote
"Warren G. Harding (1921-1923)
",67th,1921,1923,"Hoffheimer, Harry M.",Southern District of Ohio,1923-02-28 00:00:00,False,"confirmed March 2, 1923; nominee declined"
"Calvin Coolidge (1923-1929)
",69th,1925,1927,"McCarthy, James W.",District of New Jersey,1925-03-18 00:00:00,False,"confirmed March 18, 1925; nominee declined"
"Calvin Coolidge (1923-1929)
",69th,1925,1927,"McCamant, Wallace (2)",Ninth Circuit,1925-12-08 00:00:00,False,"rejected by Senate March 17, 1926"
"Calvin Coolidge (1923-1929)
",69th,1925,1927,"Tilson, William J. (2)",Middle District of Georgia,1926-06-09 00:00:00,False,"withdrawn by president June 18, 1926"
"Calvin Coolidge (1923-1929)
",69th,1925,1927,"Tilson, William J. (2)",Middle District of Georgia,1926-12-07 00:00:00,False,"withdrawn by president February 8, 1927"
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"McDermott, George T.",District of Kansas,1927-12-13 00:00:00,False,"withdrawn by president January 12, 1928"
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Bowen, Crate D.",Southern District of Florida,1928-05-24 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Vaught, Edward S. (1), (2)",Western District of Oklahoma,1928-05-26 00:00:00,False,no Senate vote
"Calvin Coolidge (1923-1929)
",70th,1927,1929,"Bowen, Crate D.",Southern District of Florida,1929-01-19 00:00:00,False,"withdrawn by president January 23, 1929"
